cluster,staff_pick,spotlight,name_len_clean,blurb_len_clean,staff_pick.1,show_feature_image,video,goal_usd,project_duration_days,success_pct
0,1.0,1.0,5.436,14.771,0.0,0.063,0.847,14285.958,31.179,100.0
1,0.057,0.0,5.068,15.173,0.112,0.0,1.0,97710.48,36.97,0.0
2,0.0,1.0,5.287,14.846,0.0,0.053,1.0,7035.001,31.713,100.0
3,0.015,0.0,4.675,14.751,0.084,0.0,0.0,101473.048,37.89,0.0
4,0.0,1.0,5.043,13.396,0.0,0.034,0.0,2352.521,28.995,100.0
