,cluster_id,size,percentage_of_total,success_count,failure_count,success_rate,failure_rate,avg_goal_usd,avg_name_length,avg_blurb_length,avg_duration_days,pct_staff_pick,pct_has_feature_image,pct_has_video,pct_micro_goal,pct_small_goal,pct_medium_goal,pct_large_goal,pct_very_large_goal,pct_mega_goal,pct_very_short_duration,pct_short_duration,pct_medium_duration,pct_long_duration,pct_very_long_duration,pct_winter_launch,pct_spring_launch,pct_summer_launch,pct_fall_launch,pct_north_america,pct_europe,pct_asia,pct_oceania,pct_south_america,pct_africa
cluster_0,0.0,6998.0,36.27,2211.0,4787.0,31.59,68.41,103264.12,4.73,14.52,34.99,0.0,1.13,0.0,31.71,29.48,13.42,18.58,4.06,2.76,8.89,54.47,13.15,23.46,0.03,23.35,28.34,24.18,24.14,67.75,26.19,3.0,2.67,0.2,0.19
cluster_1,1.0,10113.0,52.42,4002.0,6111.0,39.57,60.43,45484.02,5.07,15.12,34.96,0.0,2.1,100.0,14.24,30.78,19.53,26.66,4.77,4.02,4.87,57.19,19.11,18.79,0.04,22.76,29.31,23.49,24.43,65.15,27.14,4.24,2.76,0.26,0.44
cluster_2,2.0,2183.0,11.31,1890.0,293.0,86.58,13.42,15729.74,5.39,14.84,32.04,100.0,5.27,84.84,9.21,30.19,22.4,33.53,3.25,1.42,4.03,63.03,23.32,9.57,0.05,24.64,29.36,19.84,26.16,65.0,25.74,5.63,2.66,0.6,0.37
